country,country_abbr,city,name,capacity,lat,lon
United Kingdom,UK,London,Wembley Stadium,90000,51.5560247,-0.2818064
Germany,DE,Munich,Allianz Arena,75000,48.218764,11.6225668,
Italy,IT,Rome,Stadio Olimpico,70634,41.933304,12.453698
Azerbaijan,AZ,Baku,Olympic Stadium,68700,40.429958,49.9174133
Russia,RU,Saint Petersburg,Krestovsky Stadium,68134,59.972728,30.2192158
Hungary,HU,Budapest,Puskás Aréna,67215,47.5034784,19.0946836
Romania,RO,Bucharest,Arena Națională,55600,44.4366642,26.1490566
Netherland,NL,Amsterdam,Johan Cruyff Arena,54990,52.3143713,4.9397754
Spain,ES,Bilbao,San Mamés,53332,43.2613696,-2.9468902
Scotland,SC,Glasgow,Hampden Park,51866,55.8229631,-4.2582679
Ireland,IE,Dublin,Aviva Stadium,51700,53.3352318,-6.2306456
Denmark,DK,Copenhagen,Parken Stadium,38065,55.6929944,12.5639904
